N;Song1;Song2;Album1;Album2;Votes1;Votes2;Date
1;Johnny Boy;Pet Cheetah;Twenty One Pilots;Trench;12;36;20/03/2024
2;Overcompensate;Smithereens;Clancy;Trench;27;11;21/03/2024
3;House Of Gold rab;Saturday;Regional At Best;Scaled And Icy;33;11;22/03/2024
4;Shy Away;Heavydirtysoul;Scaled And Icy;Blurryface;5;33;23/03/2024
5;Addict With A Pen;The Run and Go;Twenty One Pilots;Vessel;29;8;24/03/2024
6;My Blood;Holding on to You;Trench;Vessel;10;30;25/03/2024
7;Anathema;Chlorine;Regional At Best;Trench;25;30;26/03/2024
8;Oh Ms Believer;Forest;Twenty One Pilots;Regional At Best;16;41;27/03/2024
9;Glowing Eyes;House of Gold;Regional At Best;Vessel;21;30;28/03/2024
10;The Judge;Level of Concern;Blurryface;Single;35;10;29/03/2024
11;Fairly Local;Fall Away;Blurryface;Twenty One Pilots;19;33;30/03/2024
12;Guns for Hands;Leave the City;Vessel;Trench;55;40;31/03/2024
13;Semi-Automatic;Cancer;Vessel;Single;38;10;01/04/2024
14;We Don't Believe What's on TV;March To The Sea;Blurryface;Twenty One Pilots;30;10;02/04/2024
15;Goner;Kitchen Sink;Blurryface;Regional At Best;15;28;03/04/2024
16;Never Take It;Good Day;Scaled And Icy;Scaled And Icy;29;15;04/04/2024
17;Before You Start Your Day;Trees;Twenty One Pilots;Vessel;5;44;05/04/2024
18;Ode to Sleep;No Chances;Vessel;Scaled And Icy;44;5;06/04/2024
19;Bandito;Migraine;Trench;Vessel;41;58;07/04/2024
20;Levitate;Doubt;Trench;Blurryface;30;16;08/04/2024
21;A Car, A Torch, A Death;Not Today;Twenty One Pilots;Blurryface;25;18;09/04/2024
22;Truce;Nico and the Niners;Vessel;Trench;13;33;10/04/2024
23;The Outside;Taxi Cab;Scaled And Icy;Twenty One Pilots;14;31;11/04/2024
24;Mulberry Street;The Pantaloon;Scaled And Icy;Twenty One Pilots;27;17;12/04/2024
25;Holding On To You rab;Be Concerned;Regional At Best;Regional At Best;30;9;13/04/2024
26;Clear;Neon Gravestones;Regional At Best;Trench;15;77;14/04/2024
27;Heathens;Christmas Saves The Year;Single;Single;41;8;15/04/2024
28;Morph;Fake You Out;Trench;Vessel;35;11;16/04/2024
29;Formidable;Legend;Scaled And Icy;Trench;11;30;17/04/2024
30;Bouce Man;Tear in My Heart;Scaled And Icy;Blurryface;4;41;18/04/2024
31;Lane Boy;Car Radio;Blurryface;Vessel;10;32;19/04/2024
32;Guns For Hands rab;Next Semester;Regional At Best;Clancy;1;41;20/04/2024
33;Slowtown;Cut My Lip;Regional At Best;Trench;33;69;21/04/2024
34;Friend, Please;Two;Twenty One Pilots;Regional At Best;40;3;22/04/2024
35;Choker;Ode To Sleep rab;Scaled And Icy;Regional At Best;22;21;23/04/2024
36;Ride;Air Catcher;Blurryface;Twenty One Pilots;31;16;24/04/2024
37;Implicit Demand For Proof;Stressed Out;Twenty One Pilots;Blurryface;21;30;25/04/2024
38;Trees rab;Polarize;Regional At Best;Blurryface;5;40;26/04/2024
39;Overcompensate;Holding On To You rab;Clancy;Regional At Best;44;20;27/04/2024
40;Levitate;House of Gold;Trench;Vessel;28;18;28/04/2024
41;Fall Away;Never Take It;Twenty One Pilots;Scaled And Icy;35;10;29/04/2024
42;The Judge;Neon Gravestones;Blurryface;Trench;21;22;30/04/2024
43;Ride;A Car, A Torch, A Death;Blurryface;Twenty One Pilots;29;14;01/05/2024
44;Backslide;Hometown;Clancy;Blurryface;30;13;02/05/2024
45;Ode to Sleep;Tear in My Heart;Vessel;Blurryface;35;10;03/05/2024
46;Semi-Automatic;Legend;Vessel;Trench;19;28;04/05/2024
47;Mulberry Street;House Of Gold rab;Scaled And Icy;Regional At Best;32;8;05/05/2024
48;Migraine;Heavydirtysoul;Vessel;Blurryface;29;30;06/05/2024
49;Polarize;Next Semester;Blurryface;Clancy;14;34;07/05/2024
50;Addict With A Pen;Nico and the Niners;Twenty One Pilots;Trench;11;36;08/05/2024
51;Choker;Taxi Cab;Scaled And Icy;Twenty One Pilots;16;35;09/05/2024
52;Friend, Please;Forest;Twenty One Pilots;Regional At Best;10;34;10/05/2024
53;Backslide;Chlorine;Clancy;Trench;20;23;11/05/2024
54;Guns for Hands;Kitchen Sink;Vessel;Regional At Best;63;37;12/05/2024
55;The Run and Go;Before You Start Your Day;Vessel;Twenty One Pilots;42;9;13/05/2024
56;Oh Ms Believer;Implicit Demand For Proof;Twenty One Pilots;Twenty One Pilots;9;40;14/05/2024
57;Johnny Boy;Christmas Saves The Year;Twenty One Pilots;Single;36;14;15/05/2024
58;Truce;March To The Sea;Vessel;Twenty One Pilots;31;16;16/05/2024
59;Saturday;Lane Boy;Scaled And Icy;Blurryface;5;49;17/05/2024
60;The Outside;Level of Concern;Scaled And Icy;Single;43;12;18/05/2024
61;Two;Good Day;Regional At Best;Scaled And Icy;13;38;19/05/2024
62;Slowtown;Not Today;Regional At Best;Blurryface;31;29;20/05/2024
63;Bandito;Bouce Man;Trench;Scaled And Icy;48;9;21/05/2024
64;Goner;Fake You Out;Blurryface;Vessel;28;24;22/05/2024
65;My Blood;Shy Away;Trench;Scaled And Icy;70;13;23/05/2024
66;Cancer;Clear;Single;Regional At Best;17;34;24/05/2024
67;Doubt;Smithereens;Blurryface;Trench;25;29;25/05/2024
68;Guns For Hands rab;Be Concerned;Regional At Best;Regional At Best;48;8;26/05/2024
69;No Chances;Ride;Scaled And Icy;Blurryface;20;50;27/05/2024
70;The Pantaloon;Ode To Sleep rab;Twenty One Pilots;Regional At Best;17;34;28/05/2024
71;Leave the City;Fairly Local;Trench;Blurryface;44;15;29/05/2024
72;Anathema;Trees rab;Regional At Best;Regional At Best;37;15;30/05/2024
73;Hometown;Glowing Eyes;Blurryface;Regional At Best;37;18;31/05/2024
74;Ode to Sleep;Lane Boy;Vessel;Blurryface;45;15;01/06/2024
75;The Outside;Good Day;Scaled And Icy;Scaled And Icy;112;24;02/06/2024
76;Slowtown;Goner;Regional At Best;Blurryface;30;22;03/06/2024
77;Truce;Leave the City;Vessel;Trench;14;43;04/06/2024
78;Johnny Boy;Anathema;Twenty One Pilots;Regional At Best;24;29;05/06/2024
79;Guns For Hands rab;Smithereens;Regional At Best;Trench;16;41;06/06/2024
80;Formidable;Bandito;Scaled And Icy;Trench;8;56;07/06/2024
81;The Run and Go;Clear;Vessel;Regional At Best;32;19;08/06/2024
82;Implicit Demand For Proof;My Blood;Twenty One Pilots;Trench;15;34;09/06/2024
83;No Chances;A Car, A Torch, A Death;Scaled And Icy;Twenty One Pilots;23;30;10/06/2024
84;Car Radio rab;The Craving (Jenna's version);Regional At Best;Clancy;29;23;11/06/2024
85;Lovely;Oldies Station;Regional At Best;Clancy;19;41;12/06/2024
86;Routines In The Night;Screen;Clancy;Vessel;11;38;13/06/2024
87;Midwest Indigo;Jumpsuit;Clancy;Trench;17;44;14/06/2024
88;Trapdoor;Paladin Strait;Twenty One Pilots;Clancy;21;31;15/06/2024
89;Ruby;Navigating;Regional At Best;Clancy;17;41;16/06/2024
90;Snap Back;The Hype;Clancy;Trench;24;40;17/06/2024
91;Lavish;Isle Of Flightless Birds;Clancy;Twenty One Pilots;17;49;18/06/2024
92;Vignette;Redecorate;Clancy;Scaled And Icy;25;39;19/06/2024
93;At The Risk Of Feeling Dumb;Message Man;Clancy;Blurryface;36;33;20/06/2024
94;A Car, A Torch, A Death;Hometown;Twenty One Pilots;Blurryface;17;42;21/06/2024
95;Time To Say Goodbye;Formidable;Single;Scaled And Icy;44;18;22/06/2024
96;Screen;We Don't Believe What's on TV;Vessel;Blurryface;43;14;23/06/2024
97;Cut My Lip;The Hype;Trench;Trench;33;22;24/06/2024
98;Stressed Out;Car Radio rab;Blurryface;Regional At Best;44;19;25/06/2024
99;At The Risk Of Feeling Dumb;Morph;Clancy;Trench;29;28;26/06/2024
100;Redecorate;Heathens;Scaled And Icy;Single;49;10;27/06/2024
101;Navigating;Holding on to You;Clancy;Vessel;18;39;28/06/2024
102;Car Radio;Isle Of Flightless Birds;Vessel;Twenty One Pilots;34;20;29/06/2024
103;Paladin Strait;Trees;Clancy;Vessel;29;32;30/06/2024
104;Jumpsuit;Pet Cheetah;Trench;Trench;35;20;01/07/2024
105;Ode To Sleep rab;Lane Boy;Regional At Best;Blurryface;18;52;02/07/2024
106;A Car, A Torch, A Death;Time To Say Goodbye;Twenty One Pilots;Single;32;11;03/07/2024
107;Jumpsuit;Taxi Cab;Trench;Twenty One Pilots;41;16;04/07/2024
108;Neon Gravestones;Chlorine;Trench;Trench;22;33;05/07/2024
109;Holding on to You;Overcompensate;Vessel;Clancy;41;15;06/07/2024
110;Car Radio;Next Semester;Vessel;Clancy;39;14;07/07/2024
111;Redecorate;Ode to Sleep;Scaled And Icy;Vessel;30;29;08/07/2024
112;Cut My Lip;At The Risk Of Feeling Dumb;Trench;Clancy;17;37;09/07/2024
113;Guns for Hands;Screen;Vessel;Vessel;46;10;10/07/2024
114;Fall Away;Heavydirtysoul;Twenty One Pilots;Blurryface;18;36;11/07/2024
115;Nico and the Niners;Mulberry Street;Trench;Scaled And Icy;41;11;12/07/2024
116;Stressed Out;A Car, A Torch, A Death;Blurryface;Twenty One Pilots;26;27;13/07/2024
117;Forest;Levitate;Regional At Best;Trench;30;29;14/07/2024
118;Trees;Ride;Vessel;Blurryface;37;18;15/07/2024
119;Legend;Oldies Station;Trench;Clancy;26;32;16/07/2024
120;Chlorine;A Car, A Torch, A Death;Trench;Twenty One Pilots;44;14;18/07/2024
121;Holding on to You;Redecorate;Vessel;Scaled And Icy;36;19;19/07/2024
122;At The Risk Of Feeling Dumb;Guns for Hands;Clancy;Vessel;22;35;20/07/2024
123;Jumpsuit;Heavydirtysoul;Trench;Blurryface;23;33;21/07/2024
124;Trees;Car Radio;Vessel;Vessel;14;40;22/07/2024
125;Oldies Station;Nico and the Niners;Clancy;Trench;22;40;23/07/2024
126;Forest;Guns for Hands;Regional At Best;Vessel;13;33;24/07/2024
127;Car Radio;Chlorine;Vessel;Trench;34;15;25/07/2024
