winner_id,loser_id
68,7
82,62
29,75
43,73
4,38
32,60
61,23
20,8
34,21
49,98
2,46
40,70
36,96
52,6
22,56
76,71
41,13
31,80
33,67
58,50
11,55
65,42
12,74
77,3
16,27
63,28
97,99
59,39
69,78
47,79
35,48
83,15
66,18
5,30
72,17
45,9
44,1
51,26
82,16
58,34
2,76
63,49
45,11
84,54
31,47
69,36
77,29
43,33
83,51
65,4
12,72
20,5
61,84
40,22
38,13
1,8
7,99
42,6
48,75
74,98
71,30
18,55
67,79
56,39
60,73
28,96
62,50
15,27
45,80
17,3
70,46
23,26
54,21
31,48
74,71
18,56
70,42
23,7
62,15
67,78
38,28
60,1
11,80
19,88
92,24
37,86
57,85
94,10
90,25
64,91
14,89
81,87
93,53
54,11
95,78
37,52
66,64
44,19
93,59
81,97
32,90
35,14
41,94
57,68
48,17
11,95
57,12
61,63
32,82
35,83
81,31
93,66
40,37
43,2
65,77
11,44
20,58
41,45
92,69
61,11
32,81
40,93
43,57
35,41
65,92
40,20
35,61
65,43
35,40
32,65
32,35
35,65
65,40
61,40
40,41
1,30
49,39
24,76
19,79
42,75
70,57
83,68
60,22
53,18
3,71
45,4
92,20
77,78
11,38
48,6
87,54
59,14
36,37
57,94
72,15
83,52
51,74
91,7
34,16
98,8
86,21
82,69
63,9
67,73
64,88
66,12
93,45
84,85
56,24
81,36
33,7
54,76
5,50
68,13
80,98
58,11
17,28
43,31
59,72
39,34
10,86
25,72
57,36
49,48
67,47
89,6
41,22
51,42
52,96
84,99
60,44
9,3
77,4
63,15
23,79
2,19
70,66
33,92
83,37
73,11
78,27
82,72
90,69
87,46
64,55
81,40
80,76
45,50
56,38
44,97
43,59
21,28
1,13
91,71
98,16
85,62
14,12
34,6
10,47
67,17
63,42
18,9
94,84
53,20
48,58
75,7
2,25
51,5
66,4
31,83
33,86
89,80
96,27
68,74
73,72
87,36
70,82
39,46
76,78
37,50
92,22
56,11
49,54
77,55
97,91
62,88
24,28
81,90
85,79
10,6
60,45
42,98
16,29
59,20
57,48
13,99
14,47
64,12
2,38
33,83
63,25
68,9
34,8
66,52
53,94
41,51
69,89
31,36
46,75
3,15
74,72
82,23
37,80
39,73
18,54
43,70
1,28
24,7
99,8
62,78
91,5
77,97
65,81
59,10
42,55
60,58
67,93
2,56
64,34
83,87
33,57
98,38
47,88
31,41
4,9
61,90
44,85
68,22
84,89
82,46
43,40
50,75
92,94
80,23
53,69
36,72
14,1
66,37
12,9
67,70
86,73
25,21
2,51
83,59
58,64
55,76
10,77
47,62
63,20
42,22
91,26
53,68
94,34
8,79
38,7
75,28
87,39
54,4
23,6
74,50
36,24
45,48
84,77
94,56
72,88
73,89
90,74
5,62
47,1
40,67
80,55
86,52
97,3
20,46
87,60
59,68
57,49
41,14
78,30
83,63
37,12
70,90
61,92
66,94
36,25
77,89
53,82
9,51
31,40
4,52
33,61
98,34
58,84
60,2
72,5
20,86
54,69
73,46
21,6
55,79
85,23
87,10
64,36
88,16
44,34
47,58
50,13
70,41
60,94
14,45
92,49
62,76
90,93
81,61
68,18
23,28
67,63
86,25
66,48
54,2
42,74
59,82
91,89
33,81
85,24
15,71
28,13
1,3
14,53
87,49
92,93
99,26
34,78
2,12
79,27
10,20
77,18
68,84
46,97
57,82
52,44
89,72
90,63
85,38
73,74
6,95
39,25
87,82
60,59
15,29
2,37
21,5
67,83
75,76
55,98
34,1
85,72
66,45
14,49
62,23
47,48
69,64
86,51
31,61
87,90
38,78
94,63
7,13
24,97
74,89
40,92
50,6
73,52
10,68
2,4
34,72
41,66
71,27
67,92
82,49
85,46
19,15
24,25
78,79
57,45
5,3
7,28
23,17
1,88
50,38
60,70
57,90
83,92
71,96
87,92
94,45
60,92
6,19
82,68
10,49
95,8
92,70
57,41
66,14
41,93
90,41
2,69
59,66
82,94
10,63
11,52
68,49
20,45
74,46
72,21
4,37
68,45
47,63
91,25
86,9
71,79
7,76
38,75
23,1
3,6
68,47
20,49
89,25
86,12
4,69
85,74
95,13
46,24
78,99
8,96
26,30
50,23
79,96
45,49
38,17
15,16
55,25
76,13
71,99
78,28
79,26
15,88
38,23
34,25
71,13
95,15
78,71
96,26
1,17
95,19
28,71
27,26
57,103
54,106
49,100
105,7
110,72
69,102
112,18
14,108
114,85
2,109
91,115
87,104
107,74
113,38
101,34
21,111
104,52
108,12
31,116
33,105
109,62
59,114
76,100
103,80
106,6
1,115
53,112
58,107
83,113
86,104
110,54
111,102
82,105
70,116
79,100
114,94
42,101
44,103
110,93
