id,title,album
1,Implicit Demand For Proof,Twenty One Pilots
2,Fall Away,Twenty One Pilots
3,The Pantaloon,Twenty One Pilots
4,Addict With A Pen,Twenty One Pilots
5,"Friend, Please",Twenty One Pilots
6,March To The Sea,Twenty One Pilots
7,Johnny Boy,Twenty One Pilots
8,Oh Ms Believer,Twenty One Pilots
9,Air Catcher,Twenty One Pilots
10,Trapdoor,Twenty One Pilots
11,"A Car, A Torch, A Death",Twenty One Pilots
12,Taxi Cab,Twenty One Pilots
13,Before You Start Your Day,Twenty One Pilots
14,Isle Of Flightless Birds,Twenty One Pilots
15,Guns For Hands rab,Regional At Best
16,Holding On To You rab,Regional At Best
17,Ode To Sleep rab,Regional At Best
18,Slowtown,Regional At Best
19,Car Radio rab,Regional At Best
20,Forest,Regional At Best
21,Glowing Eyes,Regional At Best
22,Kitchen Sink,Regional At Best
23,Anathema,Regional At Best
24,Lovely,Regional At Best
25,Ruby,Regional At Best
26,Trees rab,Regional At Best
27,Be Concerned,Regional At Best
28,Clear,Regional At Best
29,House Of Gold rab,Regional At Best
30,Two,Regional At Best
31,Ode to Sleep,Vessel
32,Holding on to You,Vessel
33,Migraine,Vessel
34,House of Gold,Vessel
35,Car Radio,Vessel
36,Semi-Automatic,Vessel
37,Screen,Vessel
38,The Run and Go,Vessel
39,Fake You Out,Vessel
40,Guns for Hands,Vessel
41,Trees,Vessel
42,Truce,Vessel
43,Heavydirtysoul,Blurryface
44,Stressed Out,Blurryface
45,Ride,Blurryface
46,Fairly Local,Blurryface
47,Tear in My Heart,Blurryface
48,Lane Boy,Blurryface
49,The Judge,Blurryface
50,Doubt,Blurryface
51,Polarize,Blurryface
52,We Don't Believe What's on TV,Blurryface
53,Message Man,Blurryface
54,Hometown,Blurryface
55,Not Today,Blurryface
56,Goner,Blurryface
57,Jumpsuit,Trench
58,Levitate,Trench
59,Morph,Trench
60,My Blood,Trench
61,Chlorine,Trench
62,Smithereens,Trench
63,Neon Gravestones,Trench
64,The Hype,Trench
65,Nico and the Niners,Trench
66,Cut My Lip,Trench
67,Bandito,Trench
68,Pet Cheetah,Trench
69,Legend,Trench
70,Leave the City,Trench
71,Good Day,Scaled And Icy
72,Choker,Scaled And Icy
73,Shy Away,Scaled And Icy
74,The Outside,Scaled And Icy
75,Saturday,Scaled And Icy
76,Never Take It,Scaled And Icy
77,Mulberry Street,Scaled And Icy
78,Formidable,Scaled And Icy
79,Bounce Man,Scaled And Icy
80,No Chances,Scaled And Icy
81,Redecorate,Scaled And Icy
82,Overcompensate,Clancy
83,Next Semester,Clancy
84,Backslide,Clancy
85,Midwest Indigo,Clancy
86,Routines In The Night,Clancy
87,Vignette,Clancy
88,The Craving (Jenna's version),Clancy
89,Lavish,Clancy
90,Navigating,Clancy
91,Snap Back,Clancy
92,Oldies Station,Clancy
93,At The Risk Of Feeling Dumb,Clancy
94,Paladin Strait,Clancy
95,Time To Say Goodbye,Single
96,Cancer,Single
97,Heathens,Single
98,Level of Concern,Single
99,Christmas Saves The Year,Single
100,Doubt (demo),Single
101,The Line,Single
102,The Craving - single version,Single
103,City Walls,Breach
104,RAWFEAR,Breach
105,Drum Show,Breach
106,Garbage,Breach
107,The Contract,Breach
108,Downstairs,Breach
109,Robot Voices,Breach
110,Center Mass,Breach
111,Cottonwood,Breach
112,One Way,Breach
113,Days Lie Dormant,Breach
114,Tally,Breach
115,Intentions,Breach
116,Drag Path,Breach
